idLegend,tab,col,value,meaning
322,Household,appliance_b1,q,"Washing machine"
323,Household,appliance_b6,1,Yes
324,Household,appliance_b6,0,No
325,Household,appliance_b6,q,"Heat pump"
326,Household,appliance_b7,1,Yes
327,Household,appliance_b7,0,No
328,Household,appliance_b7,q,"Electric hob"
329,Household,appliance_b4,1,Yes
330,Household,appliance_b4,0,No
331,Household,appliance_b4,q,"Under floor heating"
332,Household,appliance_b5,1,Yes
333,Household,appliance_b5,0,No
334,Household,appliance_b5,q,"Gas boiler"
335,Household,pet4,q,"Other pet"
336,Household,pet1,q,Dog
337,Household,pet3,q,Fish
338,Household,inc_monthly,1,"Monthly figure"
339,Household,inc_monthly,0,"Annual figure"
340,Household,inc_monthly,q,"Switch to monthly amounts if you prefer"
341,Household,date_choice,q,"Which day would suit you for this trial?.  Ap"
342,Household,bill_affordable,1,"Not affordable, I struggle to pay"
343,Household,bill_affordable,q,"How affordable do you find your electricity?."
344,Household,bill_affordable,3,"Affordable, I can pay"
345,Household,bill_affordable,2,"Somewhat affordable , I must budget"
346,Household,bill_affordable,4,"Very affordable, I can pay easily"
347,Individual,TimeExercise,q,"On a typical weekday, how much time do you sp"
348,Individual,TimeExercise,None,Null
349,Individual,TimeExercise,1,None
350,Individual,TimeExercise,0,Null
351,Individual,TimeExercise,3,"30min or less"
352,Individual,TimeExercise,2,"10min or less"
353,Individual,TimeExercise,5,"3h or less"
354,Individual,TimeExercise,4,"1h or less"
355,Individual,TimeExercise,6,"Over 3h"
356,Individual,Age_range,q,"What age group are you?"
357,Individual,Age_range,None,Null
358,Individual,Age_range,1,"8 - 18"
359,Individual,Age_range,0,Null
360,Individual,Age_range,3,"35 - 50"
361,Individual,Age_range,2,"19 - 34"
362,Individual,Age_range,5,"Over 70"
363,Individual,Age_range,4,"51 - 70"
364,Individual,Age_range,6,Skip
365,Individual,TimeMobile,q,"On a typical weekday, how much time do you sp"
366,Individual,TimeMobile,None,Null
367,Individual,TimeMobile,1,None
368,Individual,TimeMobile,0,Null
369,Individual,TimeMobile,3,"30min or less"
370,Individual,TimeMobile,2,"10min or less"
371,Individual,TimeMobile,5,"2h or less"
372,Individual,TimeMobile,4,"1h or less"
373,Individual,TimeMobile,6,"Over 2h"
374,Individual,TimeScreens,q,"On a typical weekday, how much time do you sp"
375,Individual,TimeScreens,None,Null
376,Individual,TimeScreens,1,None
377,Individual,TimeScreens,0,Null
378,Individual,TimeScreens,3,"1 hour or less"
379,Individual,TimeScreens,2,"30 min or less"
380,Individual,TimeScreens,5,"3 hours or less"
381,Individual,TimeScreens,4,"2 hours or less"
382,Individual,TimeScreens,6,"Over 3 hours"
383,Individual,Gender,q,"What gender are you?"
384,Individual,Gender,None,Null
385,Individual,Gender,1,Female
386,Individual,Gender,0,Skip
387,Individual,Gender,3,Other
388,Individual,Gender,2,Male
389,Individual,TimeCooking,q,"On a typical weekday, how much time do you sp"
390,Individual,TimeCooking,None,Null
391,Individual,TimeCooking,1,None
392,Individual,TimeCooking,0,Null
393,Individual,TimeCooking,3,"30min or less"
394,Individual,TimeCooking,2,"10min or less"
395,Individual,TimeCooking,5,"3h or less"
396,Individual,TimeCooking,4,"1h or less"
397,Individual,TimeCooking,6,"Over 3h"
398,Individual,WorkingHours,q,"How many hours do you work per week?"
399,Individual,WorkingHours,None,Null
400,Individual,WorkingHours,1,None
401,Individual,WorkingHours,0,Null
402,Individual,WorkingHours,3,"16 - 30"
403,Individual,WorkingHours,2,"1 - 15"
404,Individual,WorkingHours,5,"Over 45"
405,Individual,WorkingHours,4,"31 - 45"
406,Individual,WorkingHours,6,Skip
407,Individual,BillContributer,q,"Do you pay the electricity bills?"
408,Individual,BillContributer,None,Null
409,Individual,BillContributer,1,"Yes, I do"
410,Individual,BillContributer,0,Null
411,Individual,BillContributer,3,"I don't"
412,Individual,BillContributer,2,"I contribute"
413,Individual,BillContributer,4,"Other / Skip"
414,Individual,UseShower,q,"In the last 7 days,  did you use a   Shower ?"
415,Individual,UseShower,None,Null
416,Individual,UseShower,1,"I didn't"
417,Individual,UseShower,0,Null
418,Individual,UseShower,3,Twice
419,Individual,UseShower,2,Once
420,Individual,UseShower,5,"5 - 7 times"
421,Individual,UseShower,4,"3 - 4 times"
422,Individual,UseShower,6,"8 or more"
423,Individual,UseTumbleDryer,q,"In the last 7 days,  did  you personally  use"
424,Individual,UseTumbleDryer,None,Null
425,Individual,UseTumbleDryer,1,"I didn't"
426,Individual,UseTumbleDryer,0,Null
427,Individual,UseTumbleDryer,3,Twice
428,Individual,UseTumbleDryer,2,Once
429,Individual,UseTumbleDryer,5,"5 - 7 times"
430,Individual,UseTumbleDryer,4,"3 - 4 times"
431,Individual,UseTumbleDryer,6,"8 or more"
432,Individual,WorkRegularity,q,"Are these hours always the same?"
433,Individual,WorkRegularity,None,Null
434,Individual,WorkRegularity,1,"Always the same"
435,Individual,WorkRegularity,0,Null
436,Individual,WorkRegularity,3,"Flexible to suit me"
437,Individual,WorkRegularity,2,"Variable to suit work"
438,Individual,WorkRegularity,4,Skip
439,Individual,UseVacuumCleaner,q,"In the last 7 days,  did you use a   Vacuum C"
440,Individual,UseVacuumCleaner,None,Null
441,Individual,UseVacuumCleaner,1,"I didn't"
442,Individual,UseVacuumCleaner,0,Null
443,Individual,UseVacuumCleaner,3,Twice
444,Individual,UseVacuumCleaner,2,Once
445,Individual,UseVacuumCleaner,5,"5 - 7 times"
446,Individual,UseVacuumCleaner,4,"3 - 4 times"
447,Individual,UseVacuumCleaner,6,"8 or more"
448,Individual,Income,q,"Roughly, what is your annual income?"
449,Individual,Income,None,Null
450,Individual,Income,1,"GBP 0 -  GBP 10,000"
451,Individual,Income,0,Null
452,Individual,Income,3,"up to  GBP 30,000"
453,Individual,Income,2,"up to  GBP 20,000"
454,Individual,Income,5,"Over GBP 45,000"
455,Individual,Income,4,"up to  GBP 45,000"
456,Individual,Income,6,Skip
457,Individual,UseDishwasher,q,"In the last 7 days,  did  you personally  use"
458,Individual,UseDishwasher,None,Null
459,Individual,UseDishwasher,1,"I didn't"
460,Individual,UseDishwasher,0,Null
461,Individual,UseDishwasher,3,Twice
462,Individual,UseDishwasher,2,Once
463,Individual,UseDishwasher,5,"5 - 7 times"
464,Individual,UseDishwasher,4,"3 - 4 times"
465,Individual,UseDishwasher,6,"8 or more"
466,Individual,UseWashingMachine,q,"In the last 7 days,  did  you personally  use"
467,Individual,UseWashingMachine,None,Null
468,Individual,UseWashingMachine,1,"I didn't"
469,Individual,UseWashingMachine,0,Null
470,Individual,UseWashingMachine,3,Twice
471,Individual,UseWashingMachine,2,Once
472,Individual,UseWashingMachine,5,"5 - 7 times"
473,Individual,UseWashingMachine,4,"3 - 4 times"
474,Individual,UseWashingMachine,6,"8 or more"
475,Individual,EnergyInterest,q,"How interested are you in energy issues?"
476,Individual,EnergyInterest,None,Null
477,Individual,EnergyInterest,1,"Very Interested"
478,Individual,EnergyInterest,0,Null
479,Individual,EnergyInterest,3,Somewhat
480,Individual,EnergyInterest,2,Interested
481,Individual,EnergyInterest,5,"Not at all"
482,Individual,EnergyInterest,4,"Not very much"
483,Individual,EnergyInterest,6,Skip
484,Individual,WorkHome,q,"How often do you work from home?"
485,Individual,WorkHome,None,Null
486,Individual,WorkHome,1,Never
487,Individual,WorkHome,0,Null
488,Individual,WorkHome,3,Sometimes
489,Individual,WorkHome,2,Rarely
490,Individual,WorkHome,5,Always
491,Individual,WorkHome,4,Often
492,Individual,WorkHome,6,Skip
493,Individual,Occupation,q,"What is your occupation?"
494,Individual,Occupation,None,Null
495,Individual,Occupation,1,Student
496,Individual,Occupation,0,Null
497,Individual,Occupation,3,"Self employed"
498,Individual,Occupation,2,Employed
499,Individual,Occupation,5,"Unemployed / retired"
500,Individual,Occupation,4,"Volunteer / unpaid work"
501,Individual,Occupation,6,"Other / Skip"
502,Activities,tuc,5221,"Plays, musicals or pantomimes"
504,Activities,tuc,9610,Exercise
505,Activities,tuc,214,"Hot drink"
506,Activities,time,11000,"Repeat now"
507,Activities,tuc,8515,"Power tools"
508,Activities,tuc,3190,"Prepare meal"
509,Activities,survey,90071,BillContributer
510,Activities,tuc,3725,"Shopping for&ordring mass media via the inter"
511,Activities,tuc,3540,"Vehicle maintenance"
512,Activities,tuc,3890,"Supervise child"
513,Activities,tuc,9820,"Travel for day trip/ just walk"
514,Activities,tuc,9231,"School run"
515,Activities,tuc,3726,"Shopping for&ordring entertainment via the in"
516,Activities,tuc,5245,"Reading newspapers in a library"
517,Activities,tuc,3242,Pottering
518,Activities,tuc,312,Bathing
519,Activities,tuc,4000,"Volunteer work and meetings"
520,Activities,tuc,2110,"Classes and lectures"
521,Activities,tuc,3723,"Shopping for&ordring clothing via the interne"
522,Activities,tuc,9720,"Travel related to hobbies other than gambling"
523,Activities,tuc,3727,"Banking and bill paying via the internet"
524,Activities,tuc,8575,"Do hair"
525,Activities,tuc,4110,"Work for an organisation"
526,Activities,time,10004,"activity time"
527,Activities,tuc,5294,"Visiting a leisure park"
528,Activities,enjoyment,20006,"enjoyment 5"
529,Activities,tuc,8533,Microwave
530,Activities,time,10003,"activity time"
531,Activities,tuc,9810,"Travel to holiday base"
532,Activities,tuc,8574,Shave
533,Activities,tuc,7250,"Unspecified other computing"
534,Activities,tuc,7130,"Literary arts"
535,Activities,tuc,8581,"Work with machinery"
537,Activities,tuc,8319,"Other specified radio listening"
538,Activities,tuc,120,"Sick in bed"
539,Activities,tuc,9232,"Child to/from sport"
540,Activities,tuc,3520,"Repairs of house"
541,Activities,tuc,7300,"Unspecified games"
542,Activities,tuc,5249,"Other specified library activities"
543,Activities,tuc,3131,"Clear away meal"
544,Activities,tuc,4100,"Unspecified organisational work"
545,Activities,tuc,3729,"Other specified household management using th"
546,Activities,tuc,3313,"Laundry hanging"
547,Activities,tuc,6141,"Indoor pairs or doubles games"
548,Activities,tuc,5230,"Art exhibitions and museums"
549,Activities,tuc,4274,"Accompanying the child as help"
550,Activities,tuc,7240,"Unspecified communication by computer"
551,Activities,tuc,3300,Laundry
552,Activities,time,10006,"activity time"
553,Activities,tuc,1120,"Work break"
554,Activities,survey,90024,Age_range
555,Activities,survey,90025,Age_range
556,Activities,survey,90026,Age_range
557,Activities,tuc,320,"Running a bath"
558,Activities,survey,90021,Age_range
559,Activities,survey,90022,Age_range
560,Activities,survey,90023,Age_range
561,Activities,tuc,8535,Kettle
562,Activities,tuc,3912,"Being with others"
563,Activities,tuc,7170,email
564,Activities,people,30014,"location public place"
565,Activities,tuc,3210,"Cleaning house"
566,Activities,tuc,8537,"Bread maker"
567,Activities,tuc,3133,"Dish washer"
568,Activities,time,10309,"activity time"
569,Activities,time,10310,"activity time"
570,Activities,time,10311,"activity time"
571,Activities,tuc,303,"Me time"
572,Activities,tuc,6190,"Other specified physical exercise"
573,Activities,survey,90012,Gender
574,Activities,tuc,4210,"Food management as help to other households"
575,Activities,tuc,3390,"Other specified making and care for textiles"
576,Activities,tuc,-1,back
577,Activities,time,10301,"activity time"
578,Activities,survey,90000,"root: survey"
579,Activities,tuc,9210,"Travel related to education"
580,Activities,tuc,9620,"Travel related to hunting & fishing"
581,Activities,tuc,4281,"Physical care and supervision of an adult as "
582,Activities,tuc,8222,"Watching sport"
583,Activities,tuc,3311,"Washing machine"
584,Activities,tuc,3500,"Unspecified construction and repairs"
585,Activities,tuc,3134,"Dish washing"
586,Activities,tuc,3191,Food
587,Activities,tuc,4300,"Unspecified participatory activities"
588,Activities,tuc,8530,"Use kitchen appliance"
589,Activities,survey,90305,UseTumbleDryer
590,Activities,survey,90304,UseTumbleDryer
591,Activities,tuc,7231,"Information searching on the internet"
592,Activities,survey,90306,UseTumbleDryer
593,Activities,survey,90301,UseTumbleDryer
594,Activities,survey,90303,UseTumbleDryer
595,Activities,survey,90302,UseTumbleDryer
596,Activities,survey,90033,Occupation
597,Activities,tuc,6000,"Outdoor activity"
599,Activities,enjoyment,20004,"enjoyment 3"
600,Activities,tuc,3819,"Physical care & supervision of a child"
601,Activities,tuc,3615,"Window shopping or other shopping as leisure"
602,Activities,tuc,3612,"Shopping mainly for clothing"
603,Activities,tuc,4272,"Teaching the child as help"
604,Activities,tuc,3241,"Looking for things"
605,Activities,UNDEFINED,99999,
606,Activities,tuc,8100,"Unspecified reading"
607,Activities,tuc,5130,Celebrations
608,Activities,people,30023,Driving
609,Activities,tuc,313,Wash
610,Activities,tuc,3611,"Shopping mainly for food"
611,Activities,tuc,3914,"Accompanying an adult household member"
612,Activities,tuc,301,"Getting ready"
613,Activities,tuc,3531,"Woodcraft, metal craft, sculpture and pottery"
614,Activities,tuc,8500,"Use an appliance"
615,Activities,tuc,6001,"Outdoors eating"
616,Activities,tuc,5200,"Unspecified entertainment and culture"
617,Activities,tuc,3420,"Tending domestic animals"
618,Activities,tuc,7390,"Other specified games"
619,Activities,tuc,3135,"Lay table"
620,Activities,tuc,304,"Got home"
621,Activities,tuc,3290,"Other household upkeep"
622,Activities,survey,90072,BillContributer
623,Activities,time,10229,"activity time"
624,Activities,tuc,7190,"Other specified or unspecified arts and hobbi"
625,Activities,tuc,323,Bathing
626,Activities,survey,90402,UseShower
627,Activities,survey,90403,UseShower
628,Activities,survey,90401,UseShower
629,Activities,survey,90406,UseShower
630,Activities,survey,90404,UseShower
631,Activities,survey,90405,UseShower
632,Activities,tuc,6002,"Food shopping"
633,Activities,tuc,4284,"Accompanying an adult as help"
634,Activities,survey,90901,TimeExercise
635,Activities,survey,90902,TimeExercise
636,Activities,survey,90903,TimeExercise
637,Activities,survey,90904,TimeExercise
638,Activities,survey,90905,TimeExercise
639,Activities,survey,90906,TimeExercise
640,Activities,time,11006,"Delete activity"
641,Activities,tuc,8554,"Mobile device"
642,Activities,survey,90013,Gender
643,Activities,time,11001,"Repeat recently"
644,Activities,tuc,5291,"Visiting a historical site"
645,Activities,tuc,3330,"Handicraft and producing textiles"
646,Activities,tuc,8320,"Listening to recordings"
647,Activities,tuc,1200,"Unspecified second job"
648,Activities,tuc,9233,"Child to/from friend"
649,Activities,tuc,3539,"Other specified making, repairing and maintai"
650,Activities,tuc,7241,"Communication on the internet"
651,Activities,tuc,7310,"Solo games and play"
652,Activities,tuc,9990,"Custom definition"
653,Activities,tuc,3919,"Other specified help to an adult household me"
654,Activities,tuc,6179,"Other specified water sports"
655,Activities,tuc,3312,"Laundry sorting"
656,Activities,tuc,4240,"Construction and repairs as help to other hou"
657,Activities,tuc,5220,"Unspecified theatre or concerts"
658,Activities,time,10000,"root: help"
659,Activities,people,30010,"location other"
660,Activities,tuc,1210,"Other job"
661,Activities,tuc,4250,"Shopping and services as help to other househ"
662,Activities,tuc,4390,"Other specified participatory activities"
663,Activities,tuc,211,Eating
664,Activities,tuc,1000,"Unspecified employment"
665,Activities,tuc,9230,"Take children"
666,Activities,tuc,7230,"Mobile device"
667,Activities,survey,40004,"activity time"
668,Activities,tuc,390,"Personal care"
669,Activities,tuc,9410,"Travel related to voluntary work and meetings"
670,Activities,people,30011,"location home"
671,Activities,survey,90035,Occupation
672,Activities,tuc,4220,"Household upkeep as help to other households"
673,Activities,tuc,3913,"With people"
675,Activities,tuc,8570,Bathroom
676,Activities,tuc,3530,"Unspecified making, repairing and maintaining"
677,Activities,tuc,9800,"Travel related to changing locality"
678,Activities,tuc,1220,"Coffee and other breaks in second job"
679,Activities,tuc,8213,"Screen time (mobile)"
680,Activities,tuc,1399,"Other specified activities related to employm"
681,Activities,tuc,5225,"Dance performances"
682,Activities,tuc,7321,"Billiards, pool, snooker or petanque"
683,Activities,tuc,7251,"Skype or other video call"
684,Activities,tuc,6132,"Skiing or skating"
685,Activities,tuc,9970,"No main activity, some idea what it might be"
686,Activities,tuc,2100,Study
687,Activities,enjoyment,20001,"enjoyment skip"
688,Activities,tuc,4310,Meetings
690,Activities,tuc,8219,"Watching TV"
691,Activities,tuc,6130,"Biking, skiing and skating"
692,Activities,tuc,3911,"Being with family"
693,Activities,people,30030,"Location travelling"
694,Activities,time,10001,"activity time"
695,Activities,tuc,3831,"Reading with child"
696,Activities,tuc,7322,"Chess and bridge"
697,Activities,tuc,8543,Washer-dryer
698,Activities,time,11003,"Edit title"
699,Activities,tuc,3924,"Accompanying a dependent adult household memb"
700,Activities,tuc,9890,"Other specified travel"
701,Activities,tuc,8120,Reading
702,Activities,tuc,3710,"Household management not using the internet"
703,Activities,people,30024,"Public transport"
704,Activities,tuc,5290,"Other specified entertainment and culture"
705,Activities,tuc,4276,"Teaching own non-coresident child"
706,Activities,tuc,5222,"Opera, operetta or light opera"
707,Activities,tuc,9430,"Travel related to religious activities"
708,Activities,tuc,4290,"Other specified informal help"
709,Activities,tuc,7249,"Other specified communication by computing"
710,Activities,tuc,111,"In bed, not asleep"
711,Activities,tuc,3610,Shopping
712,Activities,time,11005,"End activity"
713,Activities,tuc,1100,"generic work"
714,Activities,time,10101,"activity time"
715,Activities,time,10006,"activity time"
716,Activities,time,10103,"activity time"
717,Activities,time,10102,"activity time"
718,Activities,time,10105,"activity time"
719,Activities,time,10104,"activity time"
720,Activities,time,10106,"activity time"
721,Activities,survey,90603,TimeMobile
722,Activities,tuc,9510,"Travel (social)"
723,Activities,tuc,8550,"Entertainment appliance use"
724,Activities,tuc,3132,"Wash dishes"
725,Activities,tuc,3630,"Personal services"
726,Activities,tuc,3000,"Household and family care"
727,Activities,tuc,5295,"Visiting an urban park, playground or designa"
728,Activities,tuc,9960,"No main activity, no idea what it might be"
729,Activities,tuc,3112,"Prepare hot meal"
730,Activities,tuc,7121,"Singing or other musical activities"
732,Activities,tuc,7239,"Other specified information by computing"
733,Activities,tuc,5310,Resting
734,Activities,tuc,8001,"Social media"
735,Activities,tuc,215,Drink
736,Activities,tuc,1140,Work
737,Activities,tuc,3724,"Shopping for&ordring gds&srv related to acc v"
738,Activities,tuc,9440,"Travel related to participatory activities ot"
739,Activities,tuc,4279,"Other specified childcare as help"
740,Activities,tuc,6100,Exercise
742,Activities,tuc,6004,BBQ
743,Activities,time,10000,"root: activities"
744,Activities,tuc,6400,"In nature"
745,Activities,people,30013,"location work"
746,Activities,tuc,4283,"Other specified help to an adult member of an"
747,Activities,tuc,9940,"Punctuating activity"
748,Activities,tuc,6111,"Taking a walk or hike that lasts at least 2 m"
749,Activities,people,30014,"location friends"
750,Activities,people,30019,"In the garden"
751,Activities,tuc,7160,Collecting
752,Activities,tuc,8518,"Lights on"
753,Activities,tuc,8220,"Watching video"
754,Activities,tuc,4280,"Unspecified help to an adult member of anothe"
755,Activities,tuc,5311,"Rest or sleep"
756,Activities,tuc,6144,"Outdoor team games"
757,Activities,tuc,9370,"Travel related to services"
758,Activities,tuc,8310,"Unspecified radio listening"
759,Activities,tuc,3810,"Child care"
760,Activities,tuc,4260,"Help to other households in employment and fa"
761,Activities,survey,90604,TimeMobile
762,Activities,people,30031,Travel
763,Activities,tuc,5246,"Listening to music in a library"
764,Activities,survey,90034,Occupation
765,Activities,tuc,8229,"Watching TV/video"
766,Activities,tuc,8221,"Screen time"
767,Activities,tuc,8212,"Watching sport on TV"
768,Activities,survey,90046,WorkingHours
769,Activities,survey,90045,WorkingHours
770,Activities,tuc,6220,"Picking berries, mushroom and herbs"
771,Activities,tuc,300,"Me time"
772,Activities,survey,90042,WorkingHours
773,Activities,survey,90041,WorkingHours
774,Activities,tuc,310,"Wash and dress"
775,Activities,tuc,5140,"Telephone conversation"
776,Activities,tuc,8000,"Unspecified mass media"
777,Activities,survey,90805,TimeCooking
778,Activities,survey,90804,TimeCooking
779,Activities,survey,90806,TimeCooking
780,Activities,tuc,3310,Laundry
781,Activities,survey,90803,TimeCooking
782,Activities,survey,90802,TimeCooking
783,Activities,tuc,3100,"Food or drink "
784,Activities,survey,90606,TimeMobile
785,Activities,tuc,4190,"Other specified organisational work"
786,Activities,tuc,4275,"Physical care and supervision of own child as"
787,Activities,survey,90032,Occupation
788,Activities,tuc,7110,"Unspecified visual arts"
789,Activities,tuc,2120,Homework
790,Activities,tuc,9600,"Travel (leisure)"
791,Activities,tuc,1300,"Work or Housework"
792,Activities,survey,90074,BillContributer
793,Activities,tuc,3220,"Cleaning yard"
794,Activities,people,30010,"location other"
795,Activities,time,10224,"activity time"
796,Activities,time,10223,"activity time"
797,Activities,time,10226,"activity time"
798,Activities,time,10225,"activity time"
799,Activities,time,10220,"activity time"
800,Activities,time,10219,"activity time"
801,Activities,tuc,7000,"Unspecified hobbies, games and computing"
802,Activities,time,10221,"activity time"
803,Activities,survey,90014,Gender
804,Activities,time,10228,"activity time"
805,Activities,time,10227,"activity time"
806,Activities,tuc,3921,"Physical care of a dependent adult household "
807,Activities,tuc,7100,"Unspecified arts"
808,Activities,tuc,8215,"Watching TV"
809,Activities,tuc,8552,"Computer games"
810,Activities,tuc,7129,"Other specified performing arts"
811,Activities,tuc,6150,Gymnastics
812,Activities,tuc,3320,Ironing
813,Activities,tuc,9120,"Travel to work from home and back only"
814,Activities,survey,90503,UseVacuumCleaner
815,Activities,survey,90502,UseVacuumCleaner
816,Activities,survey,90501,UseVacuumCleaner
817,Activities,tuc,2000,"Unspecified study"
818,Activities,survey,90506,UseVacuumCleaner
819,Activities,survey,90505,UseVacuumCleaner
820,Activities,survey,90504,UseVacuumCleaner
821,Activities,tuc,9520,"Travel for entertainment"
822,Activities,tuc,8217,"Screen time (tablet)"
823,Activities,tuc,7220,"Computing - programming"
824,Activities,tuc,3213,"Clean floors"
825,Activities,time,10307,"activity time"
826,Activities,time,10308,"activity time"
827,Activities,people,30018,"Outdoor activity"
828,Activities,tuc,8561,Mower
829,Activities,survey,90073,BillContributer
830,Activities,people,30030,"location travelling"
831,Activities,time,10302,"activity time"
832,Activities,time,10300,"activity time"
833,Activities,time,10305,"activity time"
834,Activities,time,10306,"activity time"
835,Activities,time,10303,"activity time"
836,Activities,time,10304,"activity time"
837,Activities,time,10009,"activity time"
838,Activities,time,10008,"activity time"
839,Activities,time,10005,"activity time"
840,Activities,time,10004,"activity time"
841,Activities,time,10007,"activity time"
842,Activities,tuc,9950,"Filling in the time use diary"
843,Activities,time,10001,"activity time"
844,Activities,time,10003,"activity time"
845,Activities,time,10002,"activity time"
846,Activities,tuc,8190,"Other specified reading"
847,Activities,tuc,3830,"Being with child"
848,Activities,tuc,7112,"Making videos, taking photos or related activ"
849,Activities,tuc,3130,"Lay or clear table"
850,Activities,tuc,6160,Fitness
851,Activities,tuc,8214,"Screen time (projector)"
852,Activities,tuc,1310,"Lunch break"
853,Activities,tuc,7330,"Computer games"
854,Activities,tuc,1391,"Activities related to job seeking"
855,Activities,tuc,6171,Swimming
856,Activities,tuc,6311,"Activities related to sports"
